latitude,longitude,name,status,type,colour,DNR,EIGANDI,DAGS
64.09848878954142,-21.839646075447032,82744,,Götuljós,blue,578,Reykjavíkurborg,2021/12/13
64.09837755324295,-21.839640802625965,82747,,Götuljós,blue,578,Reykjavíkurborg,2021/12/13
64.11772815239088,-21.783922642582244,83473,,Götuljósalykkja,green,897,Reykjavíkurborg - eignasjóður,2003/10/17
64.11548102208742,-21.782549780195048,65522,,Götuljós,blue,897,Reykjavíkurborg - eignasjóður,2005/09/19
64.11665823211482,-21.78480775470029,61894,,Götuljós,blue,897,Reykjavíkurborg - eignasjóður,2003/10/17
64.11756131287041,-21.78365724171226,61892,,Götuljós,blue,897,Reykjavíkurborg - eignasjóður,2003/10/17
64.11574482729957,-21.78219752796273,65525,,Götuljós,blue,897,Reykjavíkurborg - eignasjóður,2005/09/19
64.11534148163015,-21.783154255726213,65523,,Götuljós,blue,897,Reykjavíkurborg - eignasjóður,2005/09/19
64.11603978542588,-21.78225820010812,65529,,Götuljós,blue,897,Reykjavíkurborg - eignasjóður,2005/09/19
64.12455201816043,-21.748046072513063,64597,,Götuljós,blue,841,Reykjavíkurborg - eignasjóður,2005/04/05
64.12386954330533,-21.74525408922851,66176,,Götuljós,blue,841,Reykjavíkurborg - eignasjóður,2006/01/24
64.12258283313382,-21.761724753664375,67052,,Götuljós,blue,801,Gatnamálastofa-rekstur/viðhald  ,2006/09/08
64.09815923206753,-21.84455279990892,28065,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1996/02/20
64.13367281779435,-21.925616305529847,82963,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13460845889732,-21.929876229053537,82948,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13382797561648,-21.926335781809673,82961,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
63.80215137383089,-29.18201913194405,82955,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
60.49553573466216,-21.587175185113875,82954,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13468651725633,-21.930233986622817,82947,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13359966785916,-21.92528170744177,82973,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13437298494958,-21.928778163045013,82951,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.11334696441519,-21.80929635459086,85552,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11067125022912,-21.799071817531207,85573,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.1110644038797,-21.800097463126544,85561,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11063895022225,-21.79907059792041,85560,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11403747748508,-21.812618066038194,85534,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.13400417812527,-21.927080110919388,82958,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13445331866224,-21.929156712546934,82950,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13453048276006,-21.92951437094687,82949,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13474379491498,-21.930509366709387,82876,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13374994913187,-21.925975995155135,82962,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.14983448571193,-21.95912760445747,85824,,Götuljós,blue,62,Reykjavíkurborg - eignasjóður,2023/05/03
64.14992386971652,-21.958620917579697,85822,,Götuljós,blue,62,Reykjavíkurborg - eignasjóður,2023/05/03
64.15000937415701,-21.958128209700565,85823,,Götuljós,blue,62,Reykjavíkurborg - eignasjóður,2023/05/03
63.810735956505695,-29.18513224866166,61058,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2001/11/26
64.09658063555291,-21.845696709776945,21394,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.0964740101313,-21.846046621437118,21358,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.0966181284288,-21.846561247434146,21359,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09870222565952,-21.846748008861503,21429,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.0984924518342,-21.8469646347395,21428,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09818283774128,-21.848794254705666,21366,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09756353847925,-21.843978540820945,21216,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09952410247712,-21.843536365519846,21250,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09643677399559,-21.841435346998555,21415,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.0966389606735,-21.841775051261884,21414,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09686540526245,-21.842042801862696,21413,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09711936651655,-21.840391062027624,21389,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.09767898379775,-21.840087926114546,21383,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.14378342163303,-21.886366084145273,74749,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2010/12/01
64.1449411190274,-21.88580864936593,74750,,Götuljós,blue,140,Reykjavíkurborg - eignasjóður,2010/12/01
64.09618605252756,-21.83754838334369,21284,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
60.20248741793648,-28.01062715463055,85859,,Götuljós,blue,103,Reykjavíkurborg - eignasjóður,2023/05/03
64.09583222546311,-21.84671070756486,21395,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1991/12/31
64.13729867366978,-21.958384037354744,21864,,Götuljós,blue,275,Reykjavíkurborg - eignasjóður,2002/05/30
64.09613768652561,-21.838008353818438,21407,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.10015837166597,-21.841847449331443,21242,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09993736674026,-21.84159022597598,21243,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09970424788753,-21.84147271807653,21244,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.09901670490004,-21.841672157945553,21264,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.10014906165537,-21.8424333228356,21247,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.0999366162936,-21.84282621286653,21248,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.11124630470475,-21.80067247585885,85572,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11341361598728,-21.809239462313876,85583,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.1116132723245,-21.80198304219036,85557,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11180953647668,-21.802372639913578,85565,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
63.778954701466034,-29.17338161078359,85551,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
63.78065303579997,-29.174014291353522,85576,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.1462041304255,-21.955102079656207,1753,,Götuljós,blue,41,Vegagerðin                      ,1995/11/01
64.09973718792949,-21.843195000061662,21249,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/01/26
64.14632074969977,-21.954808036429696,1709,,Götuljós,blue,41,Vegagerðin                      ,1995/11/02
64.14641810491271,-21.955477364199087,1752,,Götuljós,blue,41,Vegagerðin                      ,1995/11/01
64.14622415492991,-21.955307849082487,4272,,Götuljós,blue,108,Reykjavíkurborg - eignasjóður,2002/10/25
64.13349721505237,-21.92557510780634,81412,,Götuljós,blue,374,Reykjavíkurborg - eignasjóður,2020/10/21
63.80179733641682,-29.181887592368607,82959,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.13380496182725,-21.926230559708387,82900,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
63.802068176176164,-29.1819882041223,82956,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
63.801984978516266,-29.18195727648471,82957,,Götuljós,blue,1364,Reykjavíkurborg - eignasjóður,2021/12/21
64.09659900376367,-21.83885985010227,21287,,Götuljós,blue,578,Reykjavíkurborg - eignasjóður,1994/03/23
64.12292214893135,-21.7804815651702,60372,,Götuljós,blue,1156,Reykjavíkurborg - eignasjóður,2002/01/30
64.12237521613943,-21.78118525610168,60369,,Götuljós,blue,1156,Reykjavíkurborg - eignasjóður,2002/01/30
64.11561527389412,-21.803979199256617,13741,,Götuljós,blue,428,Reykjavíkurborg - eignasjóður,1994/02/01
60.49773678385525,-21.474437468124172,85532,,Götuljós,blue,,Reykjavíkurborg - eignasjóður,2023/02/16
64.11392247349214,-21.81206820933664,85535,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.1131609357305,-21.806855856795284,85575,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.11463747731734,-21.815374076096234,85533,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
60.49771796708258,-21.475438255173408,85554,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11296099160803,-21.805777774872308,85555,,Götuljós,blue,202,Reykjavíkurborg - eignasjóður,2023/02/16
64.11416331252856,-21.81316492283088,85528,,Götuljós,blue,605,Reykjavíkurborg - eignasjóður,2023/02/16
64.12356832044247,-21.80481394869581,2213,,Götuljós,blue,51,Gatnamálastofa-rekstur/viðhald  ,1994/01/20
