OBJECTID,HLUTVERK,GERD,GLJ_ID,DNR,LAGNINGARAR,KERFI,EIGANDI,SVF,VERKNR,VBL,SYMBOL,SNUNINGUR,HEIMILD,DAGSINNSETNINGAR,DAGSLEIDRETTINGAR,NAKVAEMNIXY,NAKVAEMNIZ,FLOKKUR_IST120,GLOBALID,STADA,DMM_GATLISTI,X,Y,Z,TENGINR,GREIN,KENNI,STADUR,VIDHALD,LAT,LON,Lóð,Viðfang,Ljósastaur XID,Ljósabúnaður XID,Auðkenni ljósabúnaðar (OBJECTID),Tegund ljósabúnaðar,Heiti tegundar ljósabúnaðar,Framleiðandi ljósabúnaðar,Ljósgjafi,Skráð afl [W],Notað ljósstreymi [LM],Litarhitastig [K],Ljósdreifing,Birgir,Ábyrgðartímabil [Ár],Stjórneining,Annað,Lýsing,Dags. kveiking,Dags. uppsett,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Veitutegund,Uppsett afl [W],Uppsett ljósstreymi [ln],Straumfesta,Miðnæturdimming,Tengill (Zhaga),Halli ljósabúnaðar,Litur ljósabúnaðar,Þyngd [kg],Vindflötur [m²],Ljóshlíf,Lampa verkefni,Staða
1856305,Götuljós,6,26966,74,1994,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0.0,106,76.18918896,Veita_43001,1994/03/11 00:00:00+00,2022/08/18 13:07:54+00,0.3,,403.0,{D3872F88-3033-4924-8990-AA34A936CF52},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356730.452,407802.338,0.0,16729.0,,,Miðbær Götulýsing,,64.14304243,-21.94398905,,Miðbær Götulýsing               ,,28676,7442,SRL-LED90WV22 3.0K,SRL-LED90WV22 3.0K,Vizulo,LED,90,,3000.0,,3000.0,,,,Stork.LB G064V22 ZH-DIM,30012023,,,,G,90,,,,ZH,,,,,,,
1856396,Götuljós,6,26965,74,1994,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0.0,106,76.18918896,Veita_43001,1994/03/11 00:00:00+00,2022/08/18 13:07:57+00,0.3,,403.0,{1359C324-6EA1-45B1-9002-429912895595},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356691.142,407809.743,0.0,16729.0,,,Miðbær Götulýsing,,64.14309236,-21.94480273,,Miðbær Götulýsing               ,,28675,7442,SRL-LED90WV22 3.0K,SRL-LED90WV22 3.0K,Vizulo,LED,90,,3000.0,,3000.0,,,,Stork.LB G064V22 ZH-DIM,30012023,,,,G,90,,,,ZH,,,,,,,
1856405,Götuljós,17,26984,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494210.0,117,3.39505005,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:02+00,0.0,,403.0,{7EF6C1F8-9F7A-4C5E-B33A-7B6895324A1A},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356745.076,407746.732,0.0,16729.0,,,Vesturbær Götulýsing,,64.14255029,-21.94363582,,Vesturbær Götulýsing            ,,90187,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856406,Götuljós,17,26983,74,2000,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494202.0,117,1.90858459,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:01+00,0.0,,403.0,{0A619CF8-38D8-4229-B82B-2AEC97C5E57A},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356744.834,407780.732,0.0,16729.0,,,Vesturbær Götulýsing,,64.14285484,-21.94367329,,Vesturbær Götulýsing            ,,90186,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856463,Götuljós,6,26967,74,1994,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0.0,106,76.18918896,Veita_43001,1994/03/11 00:00:00+00,2022/08/18 13:07:56+00,0.3,,403.0,{F1BDB790-92B4-449A-84A5-EF22D21F6CED},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356772.681,407794.228,0.0,16729.0,,,Miðbær Götulýsing,,64.14298739,-21.9431148,,Miðbær Götulýsing               ,,28677,7442,SRL-LED90WV22 3.0K,SRL-LED90WV22 3.0K,Vizulo,LED,90,,3000.0,,3000.0,,,,Stork.LB G064V22 ZH-DIM,30012023,,,,G,90,,,,ZH,,,,,,,
1856512,Götuljós,17,26996,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494203.0,117,335.8822327,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:22+00,0.0,,403.0,{DFD25576-221F-4F30-AFB6-70767A05822D},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356836.705,407589.99,0.0,16729.0,,,Vesturbær Götulýsing,,64.14118408,-21.94160596,,Vesturbær Götulýsing            ,,90199,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856513,Götuljós,17,26988,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494208.0,117,2.66170502,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:07+00,0.0,,403.0,{CA07D880-4774-4069-A57C-FBE7DBBD234F},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356746.756,407617.973,0.0,16729.0,,,Vesturbær Götulýsing,,64.14139727,-21.94347824,,Vesturbær Götulýsing            ,,90191,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856787,Götuljós,17,26995,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494209.0,117,337.570816,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:03+00,0.0,,403.0,{2E3D9A3C-3704-49F7-A0C6-D16408A0DB22},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356851.027,407615.294,0.0,16729.0,,,Vesturbær Götulýsing,,64.14141679,-21.94133628,,Vesturbær Götulýsing            ,,90198,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856816,Götuljós,17,26987,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494206.0,117,6.55540466,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:03+00,0.0,,403.0,{CE425EB6-FF1F-48D8-A48C-5BC85DDDFF67},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356745.848,407646.752,0.0,16729.0,,,Vesturbær Götulýsing,,64.14165476,-21.94352439,,Vesturbær Götulýsing            ,,90190,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
1856817,Götuljós,17,26986,74,1995,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70096747,1494198.0,117,-1.5746994,Veita_43001,1993/12/31 00:00:00+00,2022/08/18 13:07:06+00,0.0,,403.0,{045A30D5-D889-4863-86ED-E9AD9491FF24},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0074&Eignaflokkur=15440&Sleppa=0,356745.598,407676.734,0.0,16729.0,,,Vesturbær Götulýsing,,64.14192331,-21.94355818,,Vesturbær Götulýsing            ,,90189,5628,LQ93-3BFR-LED12W2.7K,LQ93-3BFR-LED12W2.7K,GMR Enlights,LED,12,,2700.0,,,,,,LQ93-3BFR 12W 2.7K,15042019,1011900.0,,,G,12,,,,,,,,,,,
