OBJECTID,HLUTVERK,GERD,GLJ_ID,DNR,LAGNINGARAR,KERFI,EIGANDI,SVF,VERKNR,VBL,SYMBOL,SNUNINGUR,HEIMILD,DAGSINNSETNINGAR,DAGSLEIDRETTINGAR,NAKVAEMNIXY,NAKVAEMNIZ,FLOKKUR_IST120,GLOBALID,STADA,DMM_GATLISTI,X,Y,Z,TENGINR,GREIN,KENNI,STADUR,VIDHALD,LAT,LON,Lóð,Viðfang,Ljósastaur XID,Ljósabúnaður XID,Auðkenni ljósabúnaðar (OBJECTID),Tegund ljósabúnaðar,Heiti tegundar ljósabúnaðar,Framleiðandi ljósabúnaðar,Ljósgjafi,Skráð afl [W],Notað ljósstreymi [LM],Litarhitastig [K],Ljósdreifing,Birgir,Ábyrgðartímabil [Ár],Stjórneining,Annað,Lýsing,Dags. kveiking,Dags. uppsett,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Veitutegund,Uppsett afl [W],Uppsett ljósstreymi [ln],Straumfesta,Miðnæturdimming,Tengill (Zhaga),Halli ljósabúnaðar,Litur ljósabúnaðar,Þyngd [kg],Vindflötur [m²],Ljóshlíf,Lampa verkefni,Staða
1857773,Upplýst skilti,89,35362,45,1999,Götuljósakort,Reykjavíkurborg - eignasjóður,0,70092663,45529,2,106.1892815,,2001/09/11 00:00:00+00,2022/09/02 13:55:24+00,0,,403,{C3A28F12-0F10-46D4-A2FD-A2B1FC786C5E},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356942.183,407689.736,0,32853,2,,"Sóleyjargata v/nr. 5, upp.t.1019",,64.14212183,-21.93953704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857774,Götuljós,1,1827,45,1996,Götuljósakort,Reykjavíkurborg - eignasjóður,0,1-2683,8721,7,13.49378967,Veita_43002,1997/11/20 00:00:00+00,2022/09/02 14:12:52+00,10,,403,{895FFCF9-1038-408F-A815-2D7CDD75E6CF},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357067.097,407592.943,0,32853,4,,Vesturbær Götulýsing,,64.14130659,-21.93688168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857777,Götuljós,4,37720,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,52933,104,19.14813995,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:55:24+00,0,,403,{6247C485-14C9-432B-BCD2-3FB0C74F0C45},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356941.101,407636.743,0,32853,2,,Vesturbær Götulýsing,,64.14164654,-21.93950864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857803,Götuljós,4,37716,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,52936,104,19.14813995,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:55:24+00,0,,403,{5E211870-A1FF-4A74-A0EB-E0195DD35C5C},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356907.548,407751.956,0,32853,2,,Vesturbær Götulýsing,,64.1426649,-21.94030711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857807,Götuljós,99,1832,45,1969,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0,199,90,Veita_43002,1995/12/31 00:00:00+00,2022/09/02 14:12:52+00,10,,403,{83A384B3-184C-445D-A851-4104F76E9E85},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357135.726,407486.128,0,32853,4,,Vesturbær Götulýsing,,64.14037807,-21.93537173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857808,Götuljós,99,1840,45,1969,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0,199,90,Veita_43002,1995/12/31 00:00:00+00,2022/09/02 14:12:52+00,10,,403,{89EA2E89-AC74-44B4-A79F-3F361DFFD06B},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357266.467,407324.884,0,32853,4,,Vesturbær Götulýsing,,64.13898768,-21.93253573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857809,Götuljós,99,1928,45,1969,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0,199,90,Veita_43002,1995/12/31 00:00:00+00,2022/09/02 13:57:40+00,10,,403,{5BE6616A-1C26-4BD4-AF63-237DF0ED901A},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357136.704,407385.764,0,32853,3,,Vesturbær Götulýsing,,64.13947918,-21.93525598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857810,Götuljós,99,1838,45,1969,Götuljósakort,Reykjavíkurborg - eignasjóður,0,,0,199,90,Veita_43002,1995/12/31 00:00:00+00,2022/09/02 14:12:52+00,10,,403,{3BD7E53B-A185-4218-8E49-ECA5331CD321},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357234.075,407364.834,0,32853,4,,Vesturbær Götulýsing,,64.13933217,-21.93323834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857811,Götuljós,99,31629,45,1998,Götuljósakort,Reykjavíkurborg - eignasjóður,0,1-3704,20262,199,90,Veita_43002,1999/02/23 00:00:00+00,2022/09/02 13:54:28+00,0,,403,{93C5282E-67A1-409C-878B-5B675DADB3C8},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,357003.974,407598.888,0,32853,2,,Vesturbær Götulýsing,,64.14133356,-21.93818249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1857812,Götuljós,4,37741,45,2001,Götuljósakort,Reykjavíkurborg - eignasjóður,0,5450,53052,104,193.6611404,Veita_43002,2002/10/25 00:00:00+00,2022/09/02 13:55:24+00,0.3,,403,{E673C2D4-EDB1-472F-8BAA-10899206798C},Innfært,https://dmm.on.is/service/HandlerGatlistiOpinLeitEignaflokkur.ashx?Gatlisti=22553&OpinLeit=drst0045&Eignaflokkur=15440&Sleppa=0,356922.861,407757.81,0,32853,2,,Vesturbær Götulýsing,,64.14272374,-21.9399985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
